GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poo-projeto,MakeItFit.users.types,Amateur,0,26,0,0,0,6,0,4,0,4
poo-projeto,MakeItFit.users.types,Occasional,5,44,1,1,1,12,1,6,0,6
poo-projeto,MakeItFit.users.types,Professional,0,108,1,3,0,25,1,10,0,9
poo-projeto,MakeItFit.trainingPlan,TrainingPlan,0,248,0,26,0,58,0,29,0,16
poo-projeto,MakeItFit.trainingPlan,TrainingPlanManager,10,486,5,64,2,112,5,44,0,13
poo-projeto,MakeItFit.utils,EmailValidator,3,8,0,0,1,2,1,1,1,1
poo-projeto,MakeItFit.utils,MakeItFitDate,7,168,1,9,2,30,1,23,0,19
poo-projeto,MakeItFit.utils,MyTuple,0,82,0,10,0,17,0,12,0,7
poo-projeto,MakeItFit.activities.implementation,Trail,8,118,5,7,3,27,5,11,0,10
poo-projeto,MakeItFit.activities.implementation,WeightSquat,12,65,2,2,5,14,3,7,1,7
poo-projeto,MakeItFit.activities.implementation,Running,2,97,1,7,1,24,1,13,0,10
poo-projeto,MakeItFit.activities.implementation,PushUp,0,71,0,4,0,19,0,10,0,8
poo-projeto,MakeItFit.time,TimeManager,0,32,0,2,0,10,0,5,0,4
poo-projeto,MakeItFit.users,UserManager,33,349,11,39,6,71,11,29,0,15
poo-projeto,MakeItFit.users,User,3,461,12,18,1,108,12,40,0,37
poo-projeto,MakeItFit.users,Gender,0,21,0,0,0,4,0,1,0,1
poo-projeto,MakeItFit,MakeItFit,20,429,1,7,3,109,3,42,2,39
poo-projeto,MakeItFit,MakeItFitController,291,393,12,6,39,83,23,36,15,35
poo-projeto,MakeItFit,MakeItFitApplication,101,0,4,0,24,0,12,0,10,0
poo-projeto,MakeItFit,Main,12,0,0,0,5,0,2,0,2,0
poo-projeto,MakeItFit.queries,HowManyAltimetryDone,0,92,0,18,0,17,0,12,0,3
poo-projeto,MakeItFit.queries,HowManyKMsDone,0,88,0,18,0,17,0,12,0,3
poo-projeto,MakeItFit.queries,MostDemandingTrainingPlan,0,67,0,6,0,17,0,5,0,2
poo-projeto,MakeItFit.queries,WhoDidTheMostActivities,0,101,0,20,0,28,0,13,0,3
poo-projeto,MakeItFit.queries,QueriesManager,0,96,0,0,0,18,0,11,0,11
poo-projeto,MakeItFit.queries,MostDoneActivity,3,124,3,18,2,25,3,12,0,3
poo-projeto,MakeItFit.queries,WhoBurnsMoreCalories,0,126,0,22,0,32,0,14,0,3
poo-projeto,MakeItFit.menu,MenuItem,6,42,1,1,3,15,2,6,1,6
poo-projeto,MakeItFit.menu,Menu,10,116,5,13,4,26,5,9,0,5
poo-projeto,MakeItFit.activities.types,Distance,4,61,3,5,0,17,3,8,0,7
poo-projeto,MakeItFit.activities.types,DistanceWithAltimetry,5,86,5,5,0,23,5,9,0,9
poo-projeto,MakeItFit.activities.types,Repetitions,4,84,3,7,0,23,3,11,0,9
poo-projeto,MakeItFit.activities.types,RepetitionsWithWeights,11,56,4,4,3,14,5,6,1,6
poo-projeto,MakeItFit.activities,ActivityManager,0,40,0,0,0,5,0,3,0,3
poo-projeto,MakeItFit.activities,Activity,4,244,2,8,0,66,2,23,0,20
poo-projeto,MakeItFit.exceptions,ExistingEntityConflictException,3,4,0,0,1,1,1,1,1,1
poo-projeto,MakeItFit.exceptions,EntityDoesNotExistException,3,4,0,0,1,1,1,1,1,1
poo-projeto,MakeItFit.exceptions,InvalidTypeException,4,3,0,0,1,1,1,1,1,1
poo-projeto,MakeItFit.views,MakeItFitView,1500,228,43,2,372,52,61,5,35,5
poo-projeto,MakeItFit.views,UserView,74,187,5,5,19,36,16,3,11,3
poo-projeto,MakeItFit.views,AdminView,933,0,24,0,213,0,53,0,41,0
